Año;CCAA;Sexo;Nivel Renta;Situación Laboral;Grandes Grupos;Casos;Casos por mil personas asignadas;Casos por mil personas atendidas;Personas con problemas de salud;Personas con problemas de salud por mil asignadas;Personas con problemas de salud por mil atendidas;
2011;02-Aragón;Hombre;Sin Clasificar;Otras situaciones;00-14 años;15124;162,59;173,38;12709;136,62;145,69
2011;02-Aragón;Hombre;Sin Clasificar;Otras situaciones;15-34 años;33756;241,65;288,89;26912;192,66;230,32
2011;02-Aragón;Hombre;Sin Clasificar;Otras situaciones;35-64 años;114724;405,98;469,04;82976;293,63;339,24
2011;02-Aragón;Hombre;Sin Clasificar;Otras situaciones;65 y más años;61073;509,34;522,23;43847;365,68;374,93
2011;02-Aragón;Mujer;Sin Clasificar;Otras situaciones;00-14 años;8688;98,02;104,54;7658;86,40;92,16
2011;02-Aragón;Mujer;Sin Clasificar;Otras situaciones;15-34 años;41691;304,61;334,97;31218;228,09;250,82
2011;02-Aragón;Mujer;Sin Clasificar;Otras situaciones;35-64 años;158026;576,28;621,94;108645;396,20;427,60
2011;02-Aragón;Mujer;Sin Clasificar;Otras situaciones;65 y más años;116937;751,84;769,75;79963;514,12;526,36
2011;04-Baleares;Hombre;Sin Clasificar;Otras situaciones;00-14 años;14881;175,72;200,68;11380;134,38;153,47
2011;04-Baleares;Hombre;Sin Clasificar;Otras situaciones;15-34 años;50761;405,81;496,85;35315;282,32;345,66
2011;04-Baleares;Hombre;Sin Clasificar;Otras situaciones;35-64 años;126934;557,45;658,83;83347;366,03;432,59
2011;04-Baleares;Hombre;Sin Clasificar;Otras situaciones;65 y más años;39210;535,46;585,75;27306;372,90;407,93
2011;04-Baleares;Mujer;Sin Clasificar;Otras situaciones;00-14 años;8783;109,86;127,72;7051;88,19;102,53
2011;04-Baleares;Mujer;Sin Clasificar;Otras situaciones;15-34 años;61479;482,88;555,54;41449;325,55;374,54
2011;04-Baleares;Mujer;Sin Clasificar;Otras situaciones;35-64 años;152325;678,74;760,64;95156;424,00;475,17
2011;04-Baleares;Mujer;Sin Clasificar;Otras situaciones;65 y más años;64291;689,35;742,11;43132;462,48;497,88
2011;05-Canarias;Hombre;Sin Clasificar;Otras situaciones;00-14 años;20959;140,93;147,42;16976;114,15;119,40
2011;05-Canarias;Hombre;Sin Clasificar;Otras situaciones;15-34 años;73615;305,90;345,80;50811;211,14;238,68
2011;05-Canarias;Hombre;Sin Clasificar;Otras situaciones;35-64 años;254350;575,07;640,76;161734;365,67;407,44
2011;05-Canarias;Hombre;Sin Clasificar;Otras situaciones;65 y más años;62769;514,35;534,63;44231;362,44;376,74
2011;05-Canarias;Mujer;Sin Clasificar;Otras situaciones;00-14 años;12336;87,54;91,74;10648;75,57;79,19
2011;05-Canarias;Mujer;Sin Clasificar;Otras situaciones;15-34 años;101580;420,48;452,60;67012;277,39;298,58
2011;05-Canarias;Mujer;Sin Clasificar;Otras situaciones;35-64 años;309360;703,02;750,17;188842;429,14;457,92
2011;05-Canarias;Mujer;Sin Clasificar;Otras situaciones;65 y más años;93913;600,28;618,99;61701;394,38;406,67
2011;07-Castilla y León;Hombre;Sin Clasificar;Otras situaciones;00-14 años;11995;80,82;95,70;10563;71,17;84,27
2011;07-Castilla y León;Hombre;Sin Clasificar;Otras situaciones;15-34 años;35719;140,34;220,91;30602;120,23;189,26
2011;07-Castilla y León;Hombre;Sin Clasificar;Otras situaciones;35-64 años;136157;258,30;369,37;110124;208,92;298,75
2011;07-Castilla y León;Hombre;Sin Clasificar;Otras situaciones;65 y más años;74020;296,45;366,21;58276;233,40;288,31
2011;07-Castilla y León;Mujer;Sin Clasificar;Otras situaciones;00-14 años;5937;42,33;50,02;5401;38,51;45,50
2011;07-Castilla y León;Mujer;Sin Clasificar;Otras situaciones;15-34 años;41867;170,83;249,33;34956;142,63;208,17
2011;07-Castilla y León;Mujer;Sin Clasificar;Otras situaciones;35-64 años;151587;296,69;376,62;120768;236,37;300,05
2011;07-Castilla y León;Mujer;Sin Clasificar;Otras situaciones;65 y más años;117703;364,13;435,21;88937;275,14;328,84
2011;09-Cataluña;Hombre;Sin Clasificar;Otras situaciones;00-14 años;17789;30,98;34,40;16657;29,01;32,21
2011;09-Cataluña;Hombre;Sin Clasificar;Otras situaciones;15-34 años;55107;69,20;92,40;46302;58,14;77,64
